project,turn_index,phase,role,interlocutor,timestamp,py_files,code_lines,structural_smells,code_smells,architectural_smells,total_smells,dpy_implementation_smells,dpy_design_smells,dpy_architecture_smells,dpy_total_smells,tokens_prompt,tokens_completion,tokens_reasoning,tokens_total,cost_usd,refactored_py_files,refactored_structural_smells,refactored_code_smells,refactored_architectural_smells,refactored_total_smells,delta_ref_vs_baseline_structural,delta_ref_vs_baseline_code,delta_ref_vs_baseline_architectural,delta_ref_vs_baseline_total,delta_ref_vs_postreview_structural,delta_ref_vs_postreview_code,delta_ref_vs_postreview_architectural,delta_ref_vs_postreview_total,refactored_dpy_implementation_smells,refactored_dpy_design_smells,refactored_dpy_architecture_smells,refactored_dpy_total_smells,delta_ref_vs_baseline_dpy_implementation,delta_ref_vs_baseline_dpy_design,delta_ref_vs_baseline_dpy_architecture,delta_ref_vs_baseline_dpy_total,delta_ref_vs_postreview_dpy_implementation,delta_ref_vs_postreview_dpy_design,delta_ref_vs_postreview_dpy_architecture,delta_ref_vs_postreview_dpy_total
Tiny Rouge_DefaultOrganization_20250913090722,3,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 09:19:48,6,528,1,5,4,10,42,1,0,43,6515,6723,1216,13238,0.075374,6,7,3,5,15,-2,-2,0,-4,6,-2,1,5,28,5,0,33,-16,4,0,-12,-14,4,0,-10
TriviaQuiz_DefaultOrganization_20250913115336,0,Coding,Programmer,Chief Technology Officer,2025-13-09 11:55:04,4,698,14,7,3,24,15,1,0,16,653,9852,2880,10505,0.099336,4,8,4,4,16,-6,-3,1,-8,-9,-3,1,-11,55,1,0,56,40,0,0,40,38,0,0,38
TriviaQuiz_DefaultOrganization_20250913115336,1,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 11:58:09,4,777,18,7,3,28,17,3,0,20,7550,8739,1536,16289,0.096827,4,8,4,4,16,-6,-3,1,-8,-9,-3,1,-11,55,1,0,56,40,0,0,40,38,0,0,38
TriviaQuiz_DefaultOrganization_20250913115336,2,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 12:02:18,4,778,18,7,3,28,17,3,0,20,7984,9508,2304,17492,0.10506,4,8,4,4,16,-6,-3,1,-8,-9,-3,1,-11,55,1,0,56,40,0,0,40,38,0,0,38
TriviaQuiz_DefaultOrganization_20250913115336,3,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 12:05:14,4,784,17,7,3,27,17,1,0,18,8065,8741,1472,16806,0.097491,4,8,4,4,16,-6,-3,1,-8,-9,-3,1,-11,55,1,0,56,40,0,0,40,38,0,0,38
TriviaQuiz_DefaultOrganization_20250913115336,4,TestModification,Programmer,Software Test Engineer,2025-13-09 12:07:33,4,784,17,7,3,27,17,1,0,18,8060,4865,832,12925,0.058725,4,8,4,4,16,-6,-3,1,-8,-9,-3,1,-11,55,1,0,56,40,0,0,40,38,0,0,38
TriviaQuiz_DefaultOrganization_20250913115336,5,EnvironmentDoc,Programmer,Chief Technology Officer,2025-13-09 12:08:01,4,0,17,7,3,27,17,1,0,18,7698,904,832,8602,0.018663,4,8,4,4,16,-6,-3,1,-8,-9,-3,1,-11,55,1,0,56,40,0,0,40,38,0,0,38
TriviaQuiz_DefaultOrganization_20250913115336,6,Reflection,Chief Executive Officer,Counselor,2025-13-09 12:08:20,4,784,17,7,3,27,17,1,0,18,8048,1011,960,9059,0.02017,4,8,4,4,16,-6,-3,1,-8,-9,-3,1,-11,55,1,0,56,40,0,0,40,38,0,0,38
Wordle_DefaultOrganization_20250913205401,0,Coding,Programmer,Chief Technology Officer,2025-13-09 20:58:07,5,443,4,6,2,12,19,0,0,19,813,8480,3264,9293,0.085816,5,4,4,3,11,0,-2,1,-1,-1,-2,1,-2,44,1,0,45,25,1,0,26,21,1,0,22
Wordle_DefaultOrganization_20250913205401,1,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 21:05:05,5,462,4,6,2,12,22,0,0,22,5563,6499,1664,12062,0.071944,5,4,4,3,11,0,-2,1,-1,-1,-2,1,-2,44,1,0,45,25,1,0,26,21,1,0,22
Wordle_DefaultOrganization_20250913205401,2,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 21:13:01,5,463,4,6,2,12,22,0,0,22,5492,7550,2688,13042,0.082365,5,4,4,3,11,0,-2,1,-1,-1,-2,1,-2,44,1,0,45,25,1,0,26,21,1,0,22
Wordle_DefaultOrganization_20250913205401,3,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 21:18:13,5,486,5,6,2,13,23,0,0,23,5910,7400,2048,13310,0.081388,5,4,4,3,11,0,-2,1,-1,-1,-2,1,-2,44,1,0,45,25,1,0,26,21,1,0,22
Wordle_DefaultOrganization_20250913205401,4,EnvironmentDoc,Programmer,Chief Technology Officer,2025-13-09 21:18:29,5,0,5,6,2,13,23,0,0,23,5939,514,448,6453,0.012564,5,4,4,3,11,0,-2,1,-1,-1,-2,1,-2,44,1,0,45,25,1,0,26,21,1,0,22
Wordle_DefaultOrganization_20250913205401,5,Reflection,Chief Executive Officer,Counselor,2025-13-09 21:18:51,5,486,5,6,2,13,23,0,0,23,6363,835,768,7198,0.016304,5,4,4,3,11,0,-2,1,-1,-1,-2,1,-2,44,1,0,45,25,1,0,26,21,1,0,22
